,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,18.307840169615307,18.459771581412216,18.17110088474069,18.20148658752441,51928700,0.0,0.0,False,,,,,
2010-09-08,18.28505163721194,18.38380844126337,18.034363406146497,18.178699493408203,65512400,0.0,0.0,False,,,,,
2010-09-09,18.376204962287996,18.391397085200847,18.22427214164936,18.239465713500977,46028900,0.0,0.0,False,,,,,
2010-09-10,18.216682911387892,18.25466685677139,18.0723482657487,18.11792755126953,58284300,0.0,0.0,False,,,,,
2010-09-13,18.383809962606605,19.2118411623029,18.30024672902313,19.075101852416992,114680400,0.0,0.0,False,,,,,
2010-09-14,19.02192097563552,19.25741558937527,18.907970613528143,19.014324188232425,87160400,0.0,0.0,False,,,,,
2010-09-15,19.067507149067428,19.15866573300444,18.930767824222343,19.08270072937012,56201900,0.0,0.0,False,,,,,
2010-09-16,19.037118582204904,19.272614712682,19.029521792614727,19.24222755432129,44548300,0.0,0.0,False,,,,,
2010-09-17,19.29539441605665,19.39415118461826,19.05230306104157,19.158655166625977,70341600,0.0,0.0,False,,,,,
2010-09-20,19.204240700835356,19.386559262841303,19.075098204963748,19.31818962097168,49838700,0.0,0.0,False,,,,,
2010-09-21,19.310591007660207,19.310591007660207,19.05230604033285,19.10548210144043,52675700,0.0,0.0,False,2.7665472697885987,,,,
2010-09-22,18.90797483737652,18.968747701238268,18.505355157644694,18.69527053833008,94299400,0.0,0.0,False,1.4365989824741794,,,,
2010-09-23,18.61929792918178,18.680070772914338,18.50534902830059,18.55852508544922,46201800,0.0,0.0,False,0.87273071232235,,,,
2010-09-24,18.718052113426907,18.83959779346692,18.67247284564661,18.824405670166016,51948800,0.0,0.0,False,1.9356621102889242,,,,
2010-09-27,18.87759038521086,18.983942541806133,18.680078202291444,18.78643035888672,43603300,0.0,0.0,False,-1.4324471400249599,,,,
2010-09-28,18.839605993450483,18.915572438774767,18.49775916290036,18.74844741821289,56041200,0.0,0.0,False,-1.3253800080854665,,,,
2010-09-29,18.71045729741086,18.733247658170104,18.5357355450735,18.61170196533203,44318900,0.0,0.0,False,-2.3408260855720044,,,,
2010-09-30,18.695268822319672,18.86239382036449,18.505353459066328,18.604108810424805,61262700,0.0,0.0,False,-3.353119658003239,,,,
2010-10-01,18.81681297952593,18.854795469453272,18.459771198876805,18.520544052124023,62672300,0.0,0.0,False,-3.3670882879071304,,,,
2010-10-04,18.20148422528693,18.22427458612128,18.06474640709765,18.163501739501957,98143400,0.0,0.0,False,-5.903943805096015,,,,
2010-10-05,18.27745066845551,18.573719563913627,18.16350176202037,18.497753143310547,78152900,0.0,0.0,False,-2.5394583936068282,,,,
2010-10-06,18.474961881964862,18.64208828893357,18.33062583474796,18.55852508544922,50489700,0.0,0.0,False,-0.6749714670258832,,,,
2010-10-07,18.70286250949509,18.80161784447839,18.444577542383097,18.634492874145508,50096100,0.0,0.0,False,0.3840053252779323,,,,
2010-10-08,18.70286278148311,18.72565169430505,18.51294744695884,18.664878845214844,41327800,0.0,0.0,False,-0.8901924215858389,,,,
2010-10-11,18.79402553554229,18.79402553554229,18.611706947480503,18.680076599121094,27587800,0.0,0.0,False,-0.5945376784517153,,,,
2010-10-12,18.72565692931931,18.938362685069347,18.558531909833903,18.86239624023437,50141500,0.0,0.0,False,0.6058542220451447,,,,
2010-10-13,19.0067274007382,19.40175165206296,18.907970613437488,19.249818801879883,75336500,0.0,0.0,False,3.019137173777286,,,,
2010-10-14,19.211840499975175,19.24982299632764,18.99153796410072,19.166259765625,51949100,0.0,0.0,False,2.611601048797514,,,,
2010-10-15,19.26501319076867,19.4093478107088,19.166256399294788,19.401752471923828,68954800,0.0,0.0,False,4.111346146783388,,,,
2010-10-18,19.43973819158799,19.71321679933776,19.33338604365834,19.61445999145508,48330500,0.0,0.0,False,9.976463529500155,,,,
2010-10-19,19.196641641356287,19.272608062104155,18.953550254114283,19.0674991607666,66150900,0.0,0.0,False,2.371169664859648,,,,
