,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2017-09-28,15.800000190734863,23.5,15.75,23.5,39265900,0.0,0.0,False,,,,,
2017-09-29,26.739999771118164,29.799999237060547,25.46999931335449,26.540000915527344,44294700,0.0,0.0,False,,,,,
2017-10-02,25.200000762939453,26.280000686645508,23.26000022888184,23.559999465942383,16008400,0.0,0.0,False,,,,0.16077548894694124,21.575920844333382
2017-10-03,23.01000022888184,23.020000457763672,20.770000457763672,20.809999465942383,13678500,0.0,0.0,False,,,,0.13737584802733163,21.45180412296001
2017-10-04,21.290000915527344,22.600000381469727,20.81999969482422,20.850000381469727,9345700,0.0,0.0,False,,,,0.09386069107789839,21.453724474758694
2017-10-05,21.399999618530277,22.200000762939453,21.350000381469727,22.01000022888184,6361600,0.0,0.0,False,,,,0.06389079173964052,21.50786741415534
2017-10-06,22.479999542236328,23.3700008392334,22.0,23.200000762939453,7058800,0.0,0.0,False,,,,0.07089290755969796,21.56052281977556
2017-10-09,23.850000381469727,25.350000381469727,23.559999465942383,24.540000915527344,7740800,0.0,0.0,False,,,,0.07774236680995494,21.61667498480829
2017-10-10,25.190000534057617,25.600000381469727,22.700000762939453,22.93000030517578,7479300,0.0,0.0,False,,,,0.07511607121766432,21.548816618396806
2017-10-11,23.809999465942383,24.32999992370605,23.200000762939453,23.65999984741211,5449300,0.0,0.0,False,,,,0.054728384592999106,21.580156360319023
2017-10-12,23.670000076293945,24.32999992370605,23.450000762939453,23.6299991607666,3545900,0.0,0.0,False,0.06919438434031168,,,0.22631478172070463,19.729648029451084
2017-10-13,23.75,24.200000762939453,22.950000762939453,23.020000457763672,2956900,0.0,0.0,False,-1.9863622122172226,,,0.1887222364054123,19.70349439694707
2017-10-16,22.96999931335449,23.200000762939453,22.01000022888184,22.190000534057617,2589600,0.0,0.0,False,-1.0059602201308726,,,0.16527955067653816,19.66677273477985
2017-10-17,22.290000915527344,22.5,21.5,22.09000015258789,1830800,0.0,0.0,False,1.4496703132203652,,,0.11684962981873884,19.66225599810744
2017-10-18,22.15999984741211,22.5,22.0,22.049999237060547,998500,0.0,0.0,False,1.354412751299542,,,0.05867316958514514,19.743094732684064
2017-10-19,21.549999237060547,22.93000030517578,21.350000381469727,22.030000686645508,2025100,0.0,0.0,False,0.02340745442517304,,,0.020877319587628868,21.482626728450565
2017-10-20,22.06999969482422,22.43000030517578,21.799999237060547,21.8700008392334,1753200,0.0,0.0,False,-1.6855094397532675,,,0.01807422680412371,21.47533740953006
2017-10-23,21.75,22.0,20.350000381469727,20.3700008392334,2728600,0.0,0.0,False,-5.425714734634367,,,0.028129896907216494,21.40428480790585
2017-10-24,20.399999618530277,20.700000762939453,19.280000686645508,19.770000457763672,2361900,0.0,0.0,False,-5.103812931172051,,,0.024349484536082475,21.37438719680464
