,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2020-12-16,26.0,30.01000022888184,22.61000061035156,29.46999931335449,13459800,0.0,0.0,False,,,,,
2020-12-17,28.64299964904785,39.84999847412109,28.25,35.77000045776367,7042200,0.0,0.0,False,,,,,
2020-12-18,38.02000045776367,48.65999984741211,37.060001373291016,44.09000015258789,7266500,0.0,0.0,False,,,,0.10028167468423245,21.884790611628432
2020-12-21,44.0,47.9900016784668,40.0,41.09999847412109,2833800,0.0,0.0,False,,,,0.03910799005300735,21.814565693173936
2020-12-22,43.09999847412109,48.08000183105469,40.650001525878906,47.84000015258789,3727400,0.0,0.0,False,,,,0.05144015884098369,21.96641972162968
2020-12-23,47.5,51.39799880981445,43.02000045776367,46.31999969482422,3142400,0.0,0.0,False,,,,0.04336683885333132,21.93413143547407
2020-12-24,46.59000015258789,47.470001220703125,42.505001068115234,43.959999084472656,873100,0.0,0.0,False,,,,0.012049257574733825,21.881837717506805
2020-12-28,44.310001373291016,45.0,38.04999923706055,42.630001068115234,1882200,0.0,0.0,False,,,,0.025975389539759485,21.85111586463036
2020-12-29,42.040000915527344,42.4900016784668,39.5099983215332,40.75,646400,0.0,0.0,False,,,,0.008920673572681188,21.806013448484627
2020-12-30,41.20000076293945,41.5,38.11000061035156,38.869998931884766,1049500,0.0,0.0,False,,,,0.014483674063318235,21.75878032618272
2020-12-31,38.20000076293945,40.95000076293945,36.2599983215332,40.75,969000,0.0,0.0,False,3.219688688285678,,,0.013372730030829318,21.806013448484627
2021-01-04,40.34000015258789,45.0,38.04999923706055,43.9900016784668,1347100,0.0,0.0,False,2.220130435386352,,,0.018590716846780365,21.88251998231403
2021-01-05,45.09999847412109,53.630001068115234,44.20000076293945,48.369998931884766,3590700,0.0,0.0,False,1.2175459664631172,,,0.04955362406780065,21.977437373550465
