"Dates","LB1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,248.5,0.274358974358974,0.0543259557344065,0.274358974358974,-0.361759131019094,0.060961255291577,1.89395840941615,921,NA
2011-08-31,241.6,0.155980861244019,0.0364238410596027,0.155980861244019,-0.178851379384961,0.0668571374266295,2.44476280031462,-753,0.158842733286575
2011-09-30,211.1,0.0322738386308068,0.113216485078162,0.0322738386308068,-0.102476378000318,0.0648925981303842,5.3503917253044,897,0.269043909199045
2011-10-31,224.2,-0.127626459143969,0.0722569134701161,-0.127626459143969,0.0543643668000104,0.0626304835227068,1.53411220236407,-856,0.159013312364757
2011-11-30,218.2,-0.150972762645914,0.113657195233731,-0.150972762645914,0.0992854331158465,0.0626401659604867,1.43855124965766,1511,0.186139749603846
2011-12-30,247.1,0.000404858299595023,0.0566572237960341,0.000404858299595023,-0.0902140345719055,0.0664047943508423,1.09952137109917,-2478,0.0598423949948995
2012-01-31,248.2,-0.178145695364238,0.0592264302981467,-0.178145695364238,-0.773876183166583,0.0664047943508423,0.684354267569485,1404,0.0509926231444895
2012-02-29,265.8,-0.14258064516129,0.0353649360421369,-0.14258064516129,-0.767369824497477,0.0667587406370504,0.623207258915611,334,-0.0212935802007402
2012-03-30,260.9,-0.0969193492557976,0.0111153698735149,-0.0969193492557976,-0.907558176396363,0.0669506774205314,0.638614283262861,43,-0.00891917748230282
2012-04-30,284.9,0.20210970464135,-0.0105300105300106,0.20210970464135,-0.280931943322351,0.0669506774205314,0.678937074800478,-1496,-0.0969202268434827
2012-05-31,281,0.185654008438819,-0.00711743772241991,0.185654008438819,-0.193926660551768,0.062630315032403,0.780511429030735,-43,-0.0889793176399434
2012-06-29,273.4,0.122792607802875,-0.00658376005852213,0.122792607802875,-0.0307081986589858,0.0552816169123091,0.818994418585603,-1849,-0.0646523209962569
2012-07-31,281,0.130784708249497,-0.0177935943060499,0.130784708249497,-0.0885060307758756,0.0552816169123091,0.77707549616233,1220,-0.114343160841182
2012-08-31,288.1,0.159356136820926,-0.0177021867407151,0.159356136820926,-0.133274590402177,0.0547017232959381,0.778830842493902,1261,-0.149320739068937
2012-09-28,279,0.154801324503312,0.0491039426523296,0.154801324503312,-0.125386662033083,0.0538406241090823,0.686463816978845,-2517,-0.118959803044429
2012-10-31,318.8,0.510184746565609,0.0388958594730238,0.510184746565609,0.510549172700053,0.0538406241090823,0.61884946369943,3462,-0.269794561230355
2012-11-30,340.1,0.516949152542372,0.0141134960305791,0.516949152542372,0.493571364246032,0.0461453106284661,0.571308071258718,347,-0.330024383098223
2012-12-31,373.9,0.513152569809793,0.0032094142818937,0.513152569809793,0.349563313963484,0.0340511661827338,0.636166796896876,-1001,-0.449304655679751
2013-01-31,352.7,0.427357345204371,0.00652112276722439,0.427357345204371,0.319597970683117,0.0353353271250547,0.62855069765247,-2082,-0.386293880654065
2013-02-28,380.3,0.532232070910555,0.0144622666316065,0.532232070910555,0.0924936709146858,0.042171821606645,0.585679389609402,632,-0.475576143292373
2013-03-29,391.2,0.471783295711061,0.000766871165644112,0.471783295711061,0.229801722605884,0.0419814601657799,0.556952521943709,-18,-0.512073536000517
2013-04-30,345.5,0.324262169413569,0.0144717800289436,0.324262169413569,-0.217746608862061,0.0418320704058609,0.943766936669286,-2216,-0.398902032370255
2013-05-31,306.3,0.0751140751140749,0.0169768201110023,0.0751140751140749,-0.070259231548569,0.0443399716067491,1.55114488700795,394,-0.304779103777134
2013-06-28,297.6,0.0590747330960852,0.00470430107526876,0.0590747330960852,-0.0354500518846562,0.0443399716067491,0.692741263259109,77,-0.286562627579476
2013-07-31,310.5,0.135698610095099,0.0148148148148148,0.135698610095099,-0.212668123266878,0.0443399716067491,0.505674123453361,-1087,-0.378554366617831
2013-08-30,320.4,0.140213523131672,-0.00468164794007486,0.140213523131672,-0.222552183535956,0.0440975712994231,0.477095739246821,-292,-0.435366089312643
2013-09-30,344.1,0.233333333333333,0.027027027027027,0.233333333333333,-0.421172806385197,0.0440975712994231,0.410618446756688,435,-0.511520107493725
2013-10-31,361.5,0.295698924731183,0.0179806362378976,0.295698924731183,-0.511462881067032,0.0431582602800749,0.533021615314332,-993,-0.597343839728553
2013-11-29,364.8,0.144291091593475,0.0361842105263157,0.144291091593475,-0.682119540876706,0.0554048739425737,0.522384705559262,20,-0.613649623010887
2013-12-31,360.1,0.0588062334607466,0.0247153568453207,0.0588062334607466,-0.526122450702398,0.0554048739425737,0.491019315487406,-321,-0.622456792403434
2014-01-31,353.8,-0.0537576892217172,0.0226116449971736,-0.0537576892217172,-0.525810090937504,0.0545919603272147,0.769369637316801,-19,-0.623247355750792
2014-02-28,350,-0.00765523107456756,0.00628571428571423,-0.00765523107456756,-0.685490370078274,0.0545347138255287,0.897527102568198,355,-0.640645093247505
2014-03-31,335.8,-0.14161554192229,0.0104228707564027,-0.14161554192229,-0.472444282277328,0.0536684240267217,0.785186953791583,529,-0.637891891398732
2014-04-30,335.9,-0.141359918200409,-0.0139922596010718,-0.141359918200409,-0.53602234744463,0.0537557820782745,0.337499414502942,-687,-0.645412090362652
2014-05-30,312.3,-0.096092619392185,0.000640409862311841,-0.096092619392185,-0.370745882614619,0.0526301247213846,0.424377390691208,596,-0.553696210160364
2014-06-30,335.1,0.126008064516129,0.00208892867800659,0.126008064516129,-0.110475444254445,0.0526301247213846,0.384882772659394,-840,-0.624160940614595
2014-07-31,324.4,0.09005376344086,0.0126387176325524,0.09005376344086,0.0328102370560965,0.0529381069002442,0.449344741080782,132,-0.530489543050019
2014-08-29,348.4,0.122061191626409,-0.0129161882893226,0.122061191626409,0.068995592225575,0.057618873337298,0.379154160506517,-170,-0.554950548569007
2014-09-30,332.9,0.0390137328339577,0.0135175728446981,0.0390137328339577,0.283351002743464,0.0649006259865645,0.399088938705441,-401,-0.509441448171639
2014-10-31,323,-0.0613193839000288,0.00340557275541808,-0.0613193839000288,0.542349366264992,0.065177512715134,0.285379327186178,80,-0.402516375827927
2014-11-28,327.7,-0.0934993084370677,0.00518767165090028,-0.0934993084370677,0.672650856425191,0.065177512715134,0.310053123731579,1205,-0.39597412915382
2014-12-31,331.1,-0.092379385964912,-0.0087586831772879,-0.092379385964912,0.66550311659775,0.065177512715134,0.346921802334516,-1666,-0.403422728026245
2015-01-30,321.8,-0.106359344626492,0.000621504039776122,-0.106359344626492,0.713433484799177,0.0586930039447599,0.381037142035324,2047,-0.36869203182433
2015-02-27,297.2,-0.159977388355003,-0.00807537012113047,-0.159977388355003,0.571889505457677,0.0586930039447599,0.537102980281872,-51,-0.279305410972767
2015-03-31,278.2,-0.205142857142857,-0.00539180445722498,-0.205142857142857,0.642557745500792,0.0586930039447599,1.02668086590119,1536,-0.203051451230516
2015-04-30,256.3,-0.236748064324002,-0.00975419430355051,-0.236748064324002,0.579223494682301,0.0600696089526407,2.81462886235937,-422,-0.0915865170897349
2015-05-29,274.1,-0.183983328371539,0.00364830353885437,-0.183983328371539,0.455617938952194,0.062186298790993,5.0784512429834,-765,-0.142133108416026
2015-06-30,288.3,-0.076849183477425,-0.0104058272632674,-0.076849183477425,0.186692404765341,0.0435413470301309,1.13984698475462,-1844,-0.192361381766066
2015-07-31,252.1,-0.247687257535064,-0.00396667988893296,-0.247687257535064,0.105190778428984,0.0320988773892714,22.9356890645546,1619,-0.00414051834519146
2015-08-31,234.2,-0.327784156142365,-0.0495303159692571,-0.327784156142365,0.255043340723755,0.0369274368589105,1.48103162141073,897,0.0800427076735366
2015-09-30,229.2,-0.342135476463835,0.00654450261780104,-0.342135476463835,0.230748067180008,0.0353522781786044,1.286290678244,98,0.101623173996569
2015-10-30,253.7,-0.237909282066687,-0.00867165944028381,-0.237909282066687,0.305858249187568,0.0353053330775655,12.3068315240899,-2358,-0.0000909655999050326
2015-11-30,245.8,-0.249923710711016,0.00488201790073228,-0.249923710711016,0.405701336369897,0.0353053330775655,0.779750032315052,-141,0.0190405188124582
2015-12-31,257.6,-0.21391516631065,-0.00582298136645965,-0.21391516631065,0.24132782948852,0.0284950117294151,0.696859066167391,-241,-0.0240567660497607
2016-01-29,240.4,-0.273935366958623,-0.00457570715474209,-0.273935366958623,0.435099191487465,0.00812802197652806,0.363746602065459,1845,0.0612794242889429
2016-02-29,254,-0.14535666218035,-0.00314960629921268,-0.14535666218035,0.0961268736425,0.0057202430450342,0.530411598444179,-1264,0.0213260918328161
2016-03-31,310.7,0.0454239569313597,0.00611522368844564,0.0454239569313597,0.626221735995023,0.0283349490358882,1.28142245573164,566,-0.183515604534226
