"Dates","LT1_Comdty","Momentum","Basis","Basis_Momentum","Skewness","Inflation_Beta","Volatility","Open_Interest","Value"
2011-07-29,28039,0.612827149841818,0.00103427369021714,0.612827149841818,-0.538193310380213,0.0537492276007439,0.922679959446797,876,NA
2011-08-31,24338,0.248614816334906,0.00106828827348182,0.248614816334906,-0.357056479887544,0.0555167223432963,0.888971992196897,-975,-0.926325296696467
2011-09-30,20353,-0.032422153553601,-0.000147398417923661,-0.032422153553601,-0.197572963397742,0.0547367982585344,1.85322098109849,-1032,-0.703751645165009
2011-10-31,21967,-0.141008094474641,0.000637319615787391,-0.141008094474641,-0.221506542740304,0.0530712490423159,0.798621774212878,-1099,-0.728302180166464
2011-11-30,20880,-0.18351386227662,0.000478927203065194,-0.18351386227662,-0.141783133989461,0.0531167132624991,0.416203164812789,344,-0.677552615948854
2011-12-30,19158,-0.218104644518815,0.00073076521557569,-0.218104644518815,-0.0733783090635776,0.0537067726668786,0.495991760944023,59,-0.526414362976895
2012-01-31,24304,-0.0975790880736669,0.000987491770901849,-0.0975790880736669,0.559139592872629,0.0537067726668786,0.32170535405913,925,-0.71051493590516
2012-02-29,23597,-0.217346600331675,0.000550917489511304,-0.217346600331675,0.82636746621578,0.0534588406425859,0.344981916924659,595,-0.656199273847497
2012-03-30,22752,-0.295778135446329,0.00105485232067504,-0.295778135446329,1.05544373111191,0.0517164593775059,0.363192348117723,-1079,-0.534629667886863
2012-04-30,22728,-0.290326609629676,0.000923970432946231,-0.290326609629676,1.03256681129802,0.0517164593775059,0.338974049513393,1206,-0.53357425881792
2012-05-31,19614,-0.387560107412727,-0.000203935964107282,-0.387560107412727,1.10663496715328,0.0599617322172303,0.645748572077453,-264,-0.330363442006824
2012-06-29,18788,-0.326474278544542,0.0000532254630616347,-0.326474278544542,1.10088018874137,0.0608909279192913,0.719279371113715,-498,-0.266736968151192
2012-07-31,18087,-0.354934198794536,0.000387018300436859,-0.354934198794536,1.27678909988724,0.0608909279192913,0.776614964887495,-301,-0.19063137480556
2012-08-31,19394,-0.308320553514747,0.000257811694338361,-0.308320553514747,1.0827568096277,0.060819877308227,0.64110392009657,-588,-0.226578338984072
2012-09-28,21900,-0.100172569644178,-0.0018264840182648,-0.100172569644178,0.778107809589714,0.0594347551763876,0.542765443516422,447,-0.33598909612255
2012-10-31,19936,-0.0204883800913868,0,-0.0204883800913868,1.006152449842,0.0594347551763876,0.702077518229842,275,-0.172697074042823
2012-11-30,21866,-0.00459780579960822,-0.000457331016189499,-0.00459780579960822,0.963579451372137,0.0518225726667528,0.590462547777129,1161,-0.236510036767242
2012-12-31,23388,0.22079549013467,0.000213784846930132,0.22079549013467,0.655576024004334,0.0571114475082432,0.552340679521098,1166,-0.244620981198958
2013-01-31,24769,0.292880258899677,0,0.292880258899677,0.609025110836187,0.0593286489406188,0.610886139084791,2462,-0.285658223025316
2013-02-28,23377,-0.038141869651086,0.000427770885913503,-0.038141869651086,0.0530883194345414,0.049324542517795,0.687130268024886,-1357,-0.216978630679117
2013-03-29,23200,-0.0168241725643089,0.000431034482758719,-0.0168241725643089,-0.00058290668053351,0.0482928355549743,0.69875268616629,-514,-0.170563369803963
2013-04-30,20336,-0.106188466947961,0.000639260424862398,-0.106188466947961,-0.0156181716995487,0.0464747446231425,1.28964754559752,363,-0.0486500284342216
2013-05-31,20864,-0.0820133755719817,0.000671012269938709,-0.0820133755719817,-0.0787180470663094,0.0445030722946417,1.12949152769053,-933,-0.113648462716333
2013-06-28,19631,0.000866727847455895,0.00106973664102705,0.000866727847455895,0.0409664991937026,0.0445030722946417,1.32249444873693,375,-0.0453430279689053
2013-07-31,20400,0.0857994464551841,0,0.0857994464551841,-0.15893138897852,0.0445030722946417,1.62191237147898,-248,-0.140432981951501
2013-08-30,21235,0.174047658539283,-0.00032964445490935,0.174047658539283,-0.359743428815763,0.0597300580233388,1.35257631677349,-1412,-0.205994168489218
2013-09-30,23319,0.0647945205479452,0.00060036879797587,0.0647945205479452,-0.381650948239922,0.0597300580233388,1.26670539729462,311,-0.306667960025614
2013-10-31,22860,0.0438356164383562,0.000262467191600946,0.0438356164383562,-0.31691321265566,0.060108841890733,8.86827668693195,872,-0.353373122059146
2013-11-29,22797,0.14350922953451,0,0.14350922953451,-0.456280471122178,0.0212557589563096,9.62892264106086,-281,-0.393901144156681
2013-12-31,22335,0.0214488246592885,0.00022386389075435,0.0214488246592885,-0.374367556467503,0.0212557589563096,5.70850760882251,-852,-0.403596730111112
2014-01-31,22066,-0.0565247135283051,-0.000453185896854835,-0.0565247135283051,-0.257242232444382,0.0196630631625715,5.10941475398355,-272,-0.441175267911264
2014-02-28,23577,-0.0481246719689933,-0.000424142172456232,-0.0481246719689933,-0.231485493697222,0.0188968696662385,2.62065683031339,2889,-0.555750320278794
2014-03-31,22848,-0.0151724137931033,-0.000962885154061621,-0.0151724137931033,-0.304167072595248,0.0175884484226065,1.32470417054523,-251,-0.546481270754776
2014-04-30,22979,-0.00952586206896544,-0.000652769920362117,-0.00952586206896544,-0.339588352886605,0.0173147621662833,1.42172813089718,132,-0.566706684973995
2014-05-30,23238,0.142702596380803,-0.000344263705998826,0.142702596380803,0.389723084721728,0.0218963878823175,1.50839207743085,-515,-0.56548997282889
2014-06-30,22548,0.148591513422649,0,0.148591513422649,0.727217175130419,0.0218963878823175,3.06409317774712,-931,-0.535347473287549
2014-07-31,22827,0.162803728796293,0.000350462171989419,0.162803728796293,0.764811080326658,0.021929045365813,3.00226576637829,904,-0.472246179265073
2014-08-29,21837,0.0704411764705886,0.000686907542244874,0.0704411764705886,0.882445694719621,0.0203149878288806,1.99578539727115,-1467,-0.393866651251081
2014-09-30,20292,-0.0444078172827875,0.000246402523161882,-0.0444078172827875,0.804141297377706,0.0206128507142241,3.64320232445982,1544,-0.320487592151294
2014-10-31,19689,-0.155667052618036,0.0000507897810959612,-0.155667052618036,0.645783576135548,0.0226594680006635,3.20855136487501,170,-0.233191144444366
2014-11-28,20280.5,-0.112839020122484,-0.000493084490027385,-0.112839020122484,0.381099902676883,0.0226594680006635,11.6350009173743,-509,-0.247155643577771
2014-12-31,19448,-0.146905294556301,-0.000411353352529842,-0.146905294556301,0.51870809401581,0.0226594680006635,1.86020549113493,553,-0.181179121939684
2015-01-30,18995,-0.149541079023953,0.00105290866017382,-0.149541079023953,0.531850811729458,0.02731731107133,2.37190725072304,-6,-0.133039192198211
2015-02-27,17928,-0.187528324118553,0.000669344042838027,-0.187528324118553,0.579932088226013,0.02731731107133,0.548148298613967,-334,-0.0624360177906501
2015-03-31,16560,-0.297620562412521,0.00150966183574885,-0.297620562412521,0.160187734786173,0.02731731107133,0.53794706692287,-474,0.0794529617297116
2015-04-30,16004,-0.299544817927171,0.000999750062484317,-0.299544817927171,0.176139911814796,0.0280925846838158,0.476486693103951,-761,0.156344837145613
2015-05-29,15572,-0.32233778667479,0.00109170305676853,-0.32233778667479,0.340943759819903,0.0274533583356984,0.437646217508254,335,0.201047904042902
2015-06-30,13917,-0.401110250451846,0.000574836530861544,-0.401110250451846,0.0603400901780087,0.0260507307014272,0.536893854886773,389,0.353410117421521
2015-07-31,16400,-0.272662763881497,-0.00121951219512195,-0.272662763881497,1.64326270534435,0.0229363100416029,2.74953870614071,1915,0.281721124788925
2015-08-31,14400,-0.340568759444979,-0.00624999999999998,-0.340568759444979,1.46289497181768,0.0329300733609244,1.21948716288804,-1082,0.468586610123186
2015-09-30,15720,-0.280120895727435,-0.00254452926208648,-0.280120895727435,1.09403510675953,0.0163707375958066,0.631182265544296,-3,0.380881029704081
2015-10-30,15027,-0.259461856889415,-0.00133093764557135,-0.259461856889415,1.08013109587266,0.0163109705263424,0.541777842481823,-548,0.498288246210978
2015-11-30,15105,-0.255195877813663,-0.00165508109897383,-0.255195877813663,1.09326413596678,0.0163109705263424,0.761550322260474,-995,0.514915230713193
2015-12-31,14600,-0.280096644560045,-0.00171232876712324,-0.280096644560045,1.17915895209715,0.019525050884329,0.4320307231321,-1165,0.581117124798076
2016-01-29,14901,-0.233802961744138,-0.000671095899604013,-0.233802961744138,1.00112666708376,0.0117372144919069,0.362117818047282,1694,0.591621184355225
2016-02-29,15970,-0.10921463632307,-0.00626174076393238,-0.10921463632307,0.609904671925397,0.00361726566501487,0.379918693871748,4,0.545081840154983
