,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-07,37.955188915690314,38.064924587270546,37.8454557064835,37.89064025878906,5625100,0.0,0.0,False
2010-09-08,37.709908809352456,38.10366211491546,37.709908809352456,37.98747253417969,8412500,0.0,0.0,False
2010-09-09,38.33604555813655,38.74916301917189,38.252130304371775,38.613609313964844,14077700,0.0,0.0,False
2010-09-10,38.69106415884058,38.729794840135376,38.58133092206641,38.71688461303711,8358800,0.0,0.0,False
2010-09-13,38.76853515099933,38.975093911129804,38.67816353886442,38.936363220214844,10706600,0.0,0.0,False
2010-09-14,39.007357727056004,39.35592646408295,38.89116814804702,39.104183197021484,9912900,0.0,0.0,False
2010-09-15,39.16227667848827,39.47211720656098,39.05254344084198,39.40756607055664,9111500,0.0,0.0,False
2010-09-16,39.25909299925585,39.62702577039915,39.22036232668211,39.562477111816406,10496300,0.0,0.0,False
2010-09-17,39.756135325021816,39.84005057171092,39.45920748273616,39.74322509765625,12240600,0.0,0.0,False
2010-09-20,39.79486650627327,40.16925325507422,39.70449491358079,40.07888412475586,10991500,0.0,0.0,False
2010-09-21,39.93042102995286,40.16925408822993,39.891690346567046,39.982059478759766,9449200,0.0,0.0,False
2010-09-22,40.00786531834104,40.343523731270004,39.95622688839912,40.00141143798828,9353300,0.0,0.0,False
2010-09-23,39.78196559980534,40.020798709088204,39.743234908148104,39.898155212402344,8393800,0.0,0.0,False
2010-09-24,40.007865696298445,40.278975458767874,39.911042715852666,40.11114501953125,12636900,0.0,0.0,False
2010-09-27,40.1628032603117,40.227351941823464,39.975608636603475,40.040157318115234,7687600,0.0,0.0,False
2010-09-28,39.99495953832555,40.408076873247474,39.82067520096032,40.298343658447266,12132800,0.0,0.0,False
2010-09-29,40.22089385986328,40.37581166426901,40.10470427537193,40.22089385986328,9590000,0.0,0.0,False
2010-09-30,40.33709482587601,40.47264855857241,39.73032627735436,39.99497985839844,12845600,0.0,0.0,False
2010-10-01,40.07887440758686,40.18215374039253,39.74321596037506,39.859405517578125,9773200,0.0,0.0,False
2010-10-04,39.72385699950049,40.00787458590508,39.5689367490419,39.807769775390625,8703600,0.0,0.0,False
2010-10-05,40.07243733693628,40.627562444657904,40.02725030140269,40.537193298339844,12439400,0.0,0.0,False
2010-10-06,40.59528680487112,40.8341198928522,40.34354348748911,40.80184555053711,11339800,0.0,0.0,False
2010-10-07,40.853476950104955,40.98903063367177,40.666282360965695,40.808292388916016,9826600,0.0,0.0,False
2010-10-08,40.911579972334316,40.91803385564295,40.685654658541665,40.814754486083984,7354800,0.0,0.0,False
2010-10-11,40.83410768002413,40.86638447506023,40.692100123835004,40.859928131103516,6172100,0.0,0.0,False
2010-10-12,40.75019812792174,40.950300483666,40.64691877781615,40.853477478027344,8707400,0.0,0.0,False
2010-10-13,40.94383541659234,41.17621450644243,40.85346631773359,41.0406608581543,10104700,0.0,0.0,False
2010-10-14,41.17622956891524,41.18268345160604,40.91802993854814,41.14395523071289,8632700,0.0,0.0,False
2010-10-15,41.298863658020146,41.31177388284337,40.75664652731288,41.034210205078125,13265100,0.0,0.0,False
2010-10-18,41.11168076242632,41.298875381943425,40.827663122809355,41.22141647338867,10814100,0.0,0.0,False
2010-10-19,40.59527787157638,41.09876439554443,40.343534609592346,40.853477478027344,17235400,0.0,0.0,False
2010-10-20,40.872850580326606,41.33115264336644,40.705022522866415,41.0535888671875,10206800,0.0,0.0,False
2010-10-21,41.221409315029774,41.45378846271423,41.00194039359155,41.30532455444336,11111700,0.0,0.0,False
2010-10-22,41.363420872341045,41.3892413257892,41.079400809159274,41.18913650512695,6774800,0.0,0.0,False
2010-10-25,41.33760458544321,41.46025052049684,41.214958650389576,41.29887390136719,7794700,0.0,0.0,False
2010-10-26,41.21496905169064,41.279520208107925,41.06005120103881,41.20851516723633,7122900,0.0,0.0,False
2010-10-27,41.04066654867654,41.11166909164385,40.847015638701826,41.034210205078125,11916100,0.0,0.0,False
2010-10-28,41.27304261831836,41.38277829656011,40.995478944521274,41.02775573730469,10116000,0.0,0.0,False
2010-10-29,41.07940409193403,41.20850390711758,40.872845372590014,41.14395523071289,9309900,0.0,0.0,False
2010-11-01,41.23432501157137,41.36987624920486,40.866392133050965,41.11167907714844,9356000,0.0,0.0,False
2010-11-02,41.27305363081141,41.440881671146684,41.13104604664286,41.23432540893555,8632100,0.0,0.0,False
2010-11-03,41.30531033955502,41.44086151255694,41.0212903846288,41.434410095214844,9322100,0.0,0.0,False
2010-11-04,41.518336670455724,41.90563360404579,41.46669576604433,41.8023567199707,11337400,0.0,0.0,False
2010-11-05,41.79589478988483,41.85398710602307,41.37632111592499,41.731346130371094,9276500,0.0,0.0,False
2010-11-08,41.6732569854755,41.7055337838764,41.376329154229616,41.52479553222656,8484400,0.0,0.0,False
2010-11-09,41.61516459691517,41.634528706028064,41.376329093444184,41.51188278198242,9218500,0.0,0.0,False
2010-11-10,41.46669498769534,41.53124365462413,41.02130327618959,41.279502868652344,10795400,0.0,0.0,False
2010-11-11,41.11812809314708,41.279502220308274,41.04066920157436,41.260135650634766,9109500,0.0,0.0,False
2010-11-12,41.1116803699665,41.36987755014231,40.99549077705638,41.09877014160156,12944800,0.0,0.0,False
2010-11-15,41.382785091488735,41.7571742803625,41.29886984874565,41.40214920043945,12729400,0.0,0.0,False
2010-11-16,41.085849768995004,41.27949821030214,40.44035332305556,40.75664520263672,15651000,0.0,0.0,False
2010-11-17,40.75019401766452,40.853473357352875,40.614637883644924,40.70500946044922,7416900,0.0,0.0,False
2010-11-18,40.969673878035415,41.311786320542616,40.85993816518681,41.20205307006836,9400100,0.0,0.0,False
2010-11-19,41.24078129382429,41.45379637397927,41.08586347405189,41.20205307006836,12889800,0.0,0.0,False
2010-11-22,40.98903889114508,41.195597630299474,40.7243853527051,41.066497802734375,11179200,0.0,0.0,False
2010-11-23,40.65982830137974,40.827656319009414,40.44035937840315,40.582366943359375,14766500,0.0,0.0,False
2010-11-24,40.685646995122035,40.98257728125282,40.62109832469626,40.853477478027344,9591400,0.0,0.0,False
2010-11-26,40.69071952722736,40.7362929344127,40.456340585380225,40.560508728027344,4638800,0.54,0.0,False
2010-11-29,40.24148688904214,40.37169517882895,39.968044016649195,40.30659103393555,12019300,0.0,0.0,False
2010-11-30,40.0266426313673,40.24800022251199,39.87690109670533,40.07221603393555,12633500,0.0,0.0,False
2010-12-01,40.48237515764748,40.67769007566111,40.24799626260555,40.63862609863281,15364700,0.0,0.0,False
2010-12-02,40.61909341091285,40.938109665823234,40.540967944153415,40.75581359863281,10160400,0.0,0.0,False
2010-12-03,40.69722373149566,40.866498493821055,40.51493012612749,40.72977828979492,9882800,0.0,0.0,False
2010-12-06,40.56702317271229,40.67770074464185,40.49540710449219,40.49540710449219,8989000,0.0,0.0,False
2010-12-07,40.72978712349785,40.84697660481241,40.527960242663966,40.56702423095703,9528800,0.0,0.0,False
2010-12-08,40.50842723794078,40.7297848588309,40.456341923112745,40.65816879272461,7871900,0.0,0.0,False
2010-12-09,40.645147098026634,40.990203613179496,40.20243186023284,40.404258728027344,12965600,0.0,0.0,False
2010-12-10,40.48888462648822,40.58003390632849,40.16335893489334,40.30659103393555,11457300,0.0,0.0,False
2010-12-13,40.25451710049605,40.34566391689209,40.07873289020463,40.2740478515625,13672100,0.0,0.0,False
2010-12-14,40.38472544618913,40.97718223672638,40.293578629731776,40.86650466918945,13491200,0.0,0.0,False
2010-12-15,40.97066506621935,41.12040659116216,40.65164878538362,40.73628616333008,11534100,0.0,0.0,False
2010-12-16,40.85347735934435,40.879520012680594,40.391231438664526,40.6256103515625,11141100,0.0,0.0,False
2010-12-17,40.5279494123817,40.71675491333008,40.35216523738466,40.71675491333008,15961000,0.0,0.0,False
2010-12-20,40.71676381116699,40.7883798777676,40.51493694016204,40.68421173095703,8907000,0.0,0.0,False
2010-12-21,40.87951766113474,40.886027082312296,40.547480059107976,40.586544036865234,7908200,0.0,0.0,False
2010-12-22,40.58003115489055,40.62560454993872,40.3130977216602,40.378204345703125,8850100,0.0,0.0,False
2010-12-23,40.37821256114267,40.66467431452439,40.37821256114267,40.5279541015625,7229500,0.0,0.0,False
2010-12-27,40.488894347296004,40.52144891112252,40.24800597307982,40.31962203979492,5163700,0.0,0.0,False
2010-12-28,40.40425894590716,40.560509922697854,40.30009080019186,40.39774703979492,6354200,0.0,0.0,False
2010-12-29,40.44332101005708,40.65165730438135,40.43681158741894,40.449832916259766,4968700,0.0,0.0,False
2010-12-30,40.430298056305645,40.48889279195218,40.30008974025951,40.32612991333008,5770100,0.0,0.0,False
2010-12-31,40.30008309114033,40.42378196440084,40.20242438665402,40.26752853393555,4981400,0.0,0.0,False
2011-01-03,40.775352785520525,41.13343058434605,40.71024615073868,40.899051666259766,14894800,0.0,0.0,False
2011-01-04,41.1008842726412,41.24411392211914,40.85348399290364,41.24411392211914,12346300,0.0,0.0,False
2011-01-05,41.28318278131354,41.367820186607375,40.9836996346613,41.21807861328125,11837900,0.0,0.0,False
2011-01-06,41.29620915719499,41.3613133331817,40.951152554048235,41.152976989746094,7606000,0.0,0.0,False
2011-01-07,41.1464458995576,41.17899797041038,40.72977343208888,40.75581359863281,11084800,0.0,0.0,False
2011-01-10,40.55399391763491,40.625609971858175,40.36518840805797,40.469356536865234,9775000,0.0,0.0,False
2011-01-11,40.50842539951941,40.59306030692716,40.36519327380723,40.540977478027344,7372800,0.0,0.0,False
2011-01-12,40.65817133716703,40.93812371297623,40.573533937057014,40.69072341918945,8312700,0.0,0.0,False
2011-01-13,40.7297784088833,41.00321881773506,40.593055720893304,40.957645416259766,9489700,0.0,0.0,False
2011-01-14,40.983695846142545,40.99671717525828,40.52795926135019,40.72327423095703,11274700,0.0,0.0,False
2011-01-18,40.508421999003026,40.749310340017416,40.37169930704399,40.430294036865234,13944900,0.0,0.0,False
2011-01-19,40.39774067022964,40.76233036453008,40.371698017015866,40.72977828979492,9596700,0.0,0.0,False
2011-01-20,40.84046102727795,41.081349391187466,40.71676213414915,40.92509841918945,11518600,0.0,0.0,False
2011-01-21,41.17900803320698,41.17900803320698,40.664676743930436,40.79488754272461,12932200,0.0,0.0,False
2011-01-24,40.729784284025946,40.833952428647414,40.46936268069004,40.508426666259766,11373000,0.0,0.0,False
2011-01-25,39.64251873919417,40.12429786055581,39.525329290310644,39.76622009277344,28056700,0.0,0.0,False
