,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-07,15.246982677145313,15.38957491684946,15.240783288749508,15.296579360961914,8101200,0.0,0.0,False
2010-09-08,15.342044816674692,15.439172780028773,15.271782973954883,15.321379661560059,9198000,0.0,0.0,False
2010-09-09,15.463974577144548,15.503237905633727,15.209788553143545,15.275918006896973,7006800,0.0,0.0,False
2010-09-10,15.323443966690979,15.468101603811867,15.224249032200944,15.240781784057617,8159200,0.0,0.0,False
2010-09-13,15.377178733745055,15.556967334149196,15.370977767653173,15.432974815368652,9858400,0.0,0.0,False
2010-09-14,15.389581112573424,15.680963521035629,15.368915950717723,15.554903984069824,9995200,0.0,0.0,False
2010-09-15,15.53009287468191,15.852473533062804,15.484628612264213,15.8214750289917,15811600,0.0,0.0,False
2010-09-16,15.76775751523318,15.885550655629892,15.68922770386833,15.838019371032715,8692800,0.0,0.0,False
2010-09-17,15.897943375831765,16.024002847092934,15.80494940762597,15.966139793395996,12146400,0.0,0.0,False
2010-09-20,15.974413227172782,16.333992060198717,15.972346238156069,16.195533752441406,15101600,0.0,0.0,False
2010-09-21,16.104596979844025,16.133528504787986,15.957872367156822,16.05500030517578,13273600,0.0,0.0,False
2010-09-22,16.009539315954427,16.116999062568077,15.850414319450335,15.976473808288574,10488800,0.0,0.0,False
2010-09-23,15.891747462926581,16.143866460575126,15.82768343091159,16.050870895385742,17721600,0.0,0.0,False
2010-09-24,16.811358971767906,16.883687799037553,16.42491570464857,16.443513870239258,33384400,0.0,0.0,False
2010-09-27,16.412517889331124,16.429050645735515,16.150067082175752,16.34845542907715,18776000,0.0,0.0,False
2010-09-28,16.340181281465323,16.701826878441796,16.236853968043473,16.664628982543945,21709600,0.0,0.0,False
2010-09-29,16.588173759351807,16.617106870807397,16.373254236984785,16.517911911010742,14574000,0.0,0.0,False
2010-09-30,16.534441458835225,16.69769884593006,16.4311141183942,16.56130599975586,13493200,0.0,0.0,False
2010-10-01,16.73075856335753,16.73075856335753,16.497239400338923,16.584033966064453,14170000,0.0,0.0,False
2010-10-04,16.51584236552707,16.58610577964108,16.333986806811662,16.50757598876953,10353200,0.0,0.0,False
2010-10-05,16.656369956721175,16.836160128988816,16.58817352137996,16.801029205322266,13471200,0.0,0.0,False
2010-10-06,16.745222290359727,16.803085327148438,16.701825012768197,16.803085327148438,9634400,0.0,0.0,False
2010-10-07,16.794824420368723,16.80515778457991,16.59643612538399,16.736961364746094,12183600,0.0,0.0,False
2010-10-08,16.72662915751674,17.069675082951086,16.718362781685194,16.953948974609375,19038400,0.0,0.0,False
2010-10-11,16.86715160028424,17.007676812850715,16.842352476896142,16.941547393798828,9902800,0.0,0.0,False
2010-10-12,17.152337553708087,17.2349997367668,16.904352581181946,16.922950744628906,22497200,0.0,0.0,False
2010-10-13,17.024213474975934,17.100676280925814,16.842357908102162,16.949817657470703,10490800,0.0,0.0,False
2010-10-14,16.887815797997998,17.00147489300374,16.809286033345334,16.898147583007812,9410000,0.0,0.0,False
2010-10-15,16.99940552639742,17.040735810118793,16.867146726509926,16.945674896240234,8276800,0.0,0.0,False
2010-10-18,16.945679526203968,16.970478649202057,16.842352212019797,16.875417709350586,6297600,0.0,0.0,False
2010-10-19,16.627429910836614,16.852684258025207,16.548901725783015,16.6832275390625,10816400,0.0,0.0,False
2010-10-20,16.74729731458597,16.877489209837314,16.708032416501325,16.78862762451172,7533200,0.0,0.0,False
2010-10-21,16.86715965231585,17.119277098860113,16.840293528324313,16.968420028686523,11593200,0.0,0.0,False
2010-10-22,16.968416429986437,17.055211019896568,16.885754240079116,16.92915153503418,4240400,0.0,0.0,False
2010-10-25,17.063478196135897,17.158539167156267,16.947752070832873,16.956018447875977,8882800,0.0,0.0,False
