,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?
2010-09-07,41.667550375829826,42.250002362341085,41.667550375829826,41.91077423095703,5284700,0.0,0.0,False
2010-09-08,41.88515557250731,42.05156617703886,41.7699456014787,41.878753662109375,4318900,0.0,0.0,False
2010-09-09,42.179573964848295,42.37798920989943,41.87234579142852,42.30758285522461,5835800,0.0,0.0,False
2010-09-10,42.33958886414059,42.56360687102705,42.15397254894143,42.506004333496094,4234800,0.0,0.0,False
2010-09-13,42.531623001220055,42.57642662450363,42.14759124689955,42.40361404418945,4469200,0.0,0.0,False
2010-09-14,42.352407670467514,42.47401959550151,42.19879594842308,42.23080062866211,4145400,0.0,0.0,False
2010-09-15,42.13479753425677,42.58923573631756,42.089993905412165,42.56363296508789,4745000,0.0,0.0,False
2010-09-16,42.49961092800563,42.666026430660985,42.352396275036035,42.6340217590332,4174900,0.0,0.0,False
2010-09-17,42.7300385300231,42.81964576672825,42.30760022850326,42.320404052734375,7908400,0.0,0.0,False
2010-09-20,42.40999996438001,42.870839849075345,42.275589145215015,42.813232421875,5057100,0.0,0.0,False
2010-09-21,42.826052380426454,42.826052380426454,42.198796771400104,42.53802490234375,7455500,0.0,0.0,False
2010-09-22,42.646828961851604,42.819646408966534,42.44201172013525,42.66603469848633,5225800,0.0,0.0,False
2010-09-23,42.365207030377256,42.365207030377256,42.025978941805484,42.10918426513672,5877800,0.0,0.0,False
2010-09-24,42.30759663386444,42.50601682676275,42.13478408725261,42.32679748535156,6366300,0.0,0.0,False
2010-09-27,42.288404652031815,42.730043861776856,42.282002739117445,42.48042297363281,5230300,0.0,0.0,False
2010-09-28,42.4676085956514,42.82604238136273,42.12197863258738,42.74283218383789,5305300,0.0,0.0,False
2010-09-29,42.5892219694143,42.88364641853933,42.390806660558404,42.7236328125,5553200,0.0,0.0,False
2010-09-30,42.85165474716296,43.08207480043763,42.403618467589546,42.525230407714844,7002300,0.0,0.0,False
2010-10-01,42.730040019866316,42.88365173339844,42.42281170957374,42.88365173339844,5397000,0.0,0.0,False
2010-10-04,42.87724514872599,42.87724514872599,42.57641878355324,42.80044174194336,4890200,0.0,0.0,False
2010-10-05,42.9028485919664,43.40849218861903,42.826045183966635,43.37009048461914,7246100,0.0,0.0,False
2010-10-06,43.23566830545435,43.59409713745117,43.13965918739045,43.59409713745117,7204100,0.0,0.0,False
2010-10-07,42.62760996439155,42.691614409579714,41.71873414633171,42.30758285522461,20029500,0.0,0.0,False
2010-10-08,42.32680662320891,42.33961044911635,41.77635930668024,42.083587646484375,8810500,0.0,0.0,False
2010-10-11,42.077187455678896,42.08999128211037,41.79556675616338,41.93637466430664,5283100,0.0,0.0,False
2010-10-12,41.78915619630542,42.544420652932985,41.603539817287086,42.2947998046875,7807800,0.0,0.0,False
2010-10-13,42.44200727815764,42.75563746173335,42.37160090088373,42.49961471557617,5990500,0.0,0.0,False
2010-10-14,42.53162445755685,42.781245350573954,42.53162445755685,42.653236389160156,6162300,0.0,0.0,False
2010-10-15,42.81324003618512,42.88364641349236,42.53801643850076,42.678829193115234,6272100,0.0,0.0,False
2010-10-18,42.76845025169598,42.89645922461505,42.5508340210877,42.56363296508789,4820100,0.0,0.0,False
2010-10-19,42.28199445879146,42.384405512450584,41.57153364452165,41.865962982177734,8357700,0.0,0.0,False
2010-10-20,42.0515761640979,42.12838445743421,41.52033467234612,41.5843391418457,11569400,0.0,0.0,False
2010-10-21,41.616327526201616,41.9043548848314,41.48831862229505,41.7187385559082,8670700,0.0,0.0,False
2010-10-22,41.75716467124688,41.92358025023146,41.50754374438478,41.609954833984375,5043200,0.0,0.0,False
2010-10-25,41.718745321254566,41.814754456367204,41.52672705102928,41.63554000854492,6580800,0.0,0.0,False
2010-10-26,41.475533382004045,41.59714041590658,41.31551975766487,41.46913146972656,6900800,0.0,0.0,False
2010-10-27,41.28350998344372,41.28991189493095,40.82267002091676,41.136295318603516,7961700,0.0,0.0,False
2010-10-28,41.20032024204506,41.68036123727671,41.187516414230345,41.609954833984375,6436100,0.0,0.0,False
2010-10-29,41.64835945746677,41.79557418823242,41.51394855540937,41.79557418823242,5549400,0.0,0.0,False
2010-11-01,41.91715982299822,42.1731825506915,41.69314176747687,41.95556640625,5916600,0.0,0.0,False
2010-11-02,42.09637577852218,42.30759490269318,42.02597428702605,42.11558151245117,4670800,0.0,0.0,False
2010-11-03,42.06438704915471,42.083587904904974,41.3347252312717,41.7315559387207,7577100,0.0,0.0,False
2010-11-04,42.07717745064787,42.13478488943373,41.28351131362766,41.82755661010742,9981300,0.0,0.0,False
2010-11-05,41.76996466227401,41.827567232460545,41.449937361515744,41.654754638671875,6940900,0.0,0.0,False
2010-11-08,41.603547615694126,41.8019629724588,41.443533971018375,41.673954010009766,5521500,0.0,0.0,False
2010-11-09,41.814775048064924,41.872377627562436,41.47554683574436,41.79557418823242,6301300,0.0,0.0,False
2010-11-10,41.629142768436175,41.853160853350495,41.360321066538994,41.763553619384766,7065800,0.0,0.0,False
2010-11-11,41.59074487074845,41.744356588290756,41.41152550318257,41.5395393371582,4743500,0.0,0.0,False
2010-11-12,41.36672125653622,41.53953870898281,41.2003105997271,41.37312316894531,4914000,0.0,0.0,False
2010-11-15,41.5139406426202,41.58434703740611,41.19391335113114,41.23231506347656,5533000,0.0,0.0,False
2010-11-16,41.142701675517664,41.60354168783792,40.85467910943161,40.98908996582031,8021500,0.0,0.0,False
2010-11-17,41.04029560539944,41.11709901883725,40.78427283307421,40.92508316040039,5016700,0.0,0.0,False
2010-11-18,40.963474433752715,41.597126811596354,40.71385365208017,41.45631408691406,6984000,0.0,0.0,False
2010-11-19,41.23230659669677,41.41792297363281,41.1362974523191,41.41792297363281,5511800,0.0,0.0,False
2010-11-22,41.44993995480254,41.507542528592936,41.0723051770022,41.41153335571289,4630100,0.0,0.0,False
2010-11-23,41.03388678086429,41.1170920924817,40.70105820955358,40.89307403564453,7198400,0.0,0.0,False
2010-11-24,41.091510526395204,41.225926313057066,40.89949704287667,41.174720764160156,5270200,0.0,0.0,False
2010-11-26,41.174702511631835,41.18109953998574,40.88027561922241,40.899478912353516,2386800,0.0,0.0,False
2010-11-29,40.80986312580927,41.053084455572176,40.59864646593074,40.969879150390625,5782100,0.0,0.0,False
2010-11-30,40.995486633529914,41.5139291394528,40.81626973965772,41.36671447753906,11252100,0.0,0.0,False
2010-12-01,41.779420580246736,42.3791253701935,41.65044889867578,42.32108688354492,9970600,0.48,0.0,False
2010-12-02,42.23727839357708,42.27596745594745,41.76009525185668,42.0438232421875,8829800,0.0,0.0,False
2010-12-03,41.96643008080243,42.32109117158249,41.934185927201014,42.02446365356445,5679100,0.0,0.0,False
2010-12-06,42.0180247631247,42.02446965895229,41.708497571527154,41.74074172973633,4502700,0.0,0.0,False
2010-12-07,41.901951196615116,41.959984775614075,41.66335722571716,41.70849609375,5630100,0.0,0.0,False
2010-12-08,41.78586998657651,41.837453738935,41.5730704038856,41.67624282836914,5431600,0.0,0.0,False
2010-12-09,41.77942612656336,41.77942612656336,41.4505544446072,41.73428726196289,6173400,0.0,0.0,False
2010-12-10,41.81165927710612,41.91483662104587,41.65044836702518,41.8503532409668,5426900,0.0,0.0,False
2010-12-13,41.95352594086014,42.37912510775883,41.78587013550602,42.2566032409668,9261700,0.0,0.0,False
2010-12-14,42.32753223287079,42.475848421091385,42.12763229722945,42.2952880859375,5751600,0.0,0.0,False
2010-12-15,42.15342433176465,42.224357515336294,41.979313819446666,42.0695915222168,4526400,0.0,0.0,False
2010-12-16,42.06959260871569,42.424258535733614,42.0373533824742,42.39846420288086,4830000,0.0,0.0,False
2010-12-17,42.38557170876072,42.559677314897264,42.21146118285798,42.54033279418945,7334800,0.0,0.0,False
